# index logical_name bit instance cell origin
0 old 0 _229_ sky130_fd_sc_hd__dfrtp_2 RTL
1 old 1 _230_ sky130_fd_sc_hd__dfrtp_2 RTL
2 old 2 _231_ sky130_fd_sc_hd__dfrtp_2 RTL
3 old 3 _232_ sky130_fd_sc_hd__dfrtp_2 RTL
4 old 4 _233_ sky130_fd_sc_hd__dfrtp_2 RTL
5 old 5 _234_ sky130_fd_sc_hd__dfrtp_2 RTL
6 old 6 _235_ sky130_fd_sc_hd__dfrtp_2 RTL
7 old 7 _236_ sky130_fd_sc_hd__dfrtp_2 RTL
8 stato 0 _237_ sky130_fd_sc_hd__dfstp_2 RTL
9 stato 1 _238_ sky130_fd_sc_hd__dfrtp_2 RTL
10 stato 2 _239_ sky130_fd_sc_hd__dfrtp_2 RTL
11 stato 3 _240_ sky130_fd_sc_hd__dfrtp_2 GL_ONLY
12 y 0 _241_ sky130_fd_sc_hd__dfrtp_2 RTL
13 d_in 0 _242_ sky130_fd_sc_hd__dfrtp_2 RTL
14 d_in 1 _243_ sky130_fd_sc_hd__dfrtp_2 RTL
15 d_in 2 _244_ sky130_fd_sc_hd__dfrtp_2 RTL
16 d_in 3 _245_ sky130_fd_sc_hd__dfrtp_2 RTL
17 d_in 4 _246_ sky130_fd_sc_hd__dfrtp_2 RTL
18 d_in 5 _247_ sky130_fd_sc_hd__dfrtp_2 RTL
19 d_in 6 _248_ sky130_fd_sc_hd__dfrtp_2 RTL
20 d_in 7 _249_ sky130_fd_sc_hd__dfrtp_2 RTL
21 d_in 8 _250_ sky130_fd_sc_hd__dfrtp_2 RTL
22 d_out 0 _251_ sky130_fd_sc_hd__dfrtp_2 RTL
23 d_out 1 _252_ sky130_fd_sc_hd__dfrtp_2 RTL
24 d_out 2 _253_ sky130_fd_sc_hd__dfrtp_2 RTL
25 d_out 3 _254_ sky130_fd_sc_hd__dfrtp_2 RTL
26 d_out 4 _255_ sky130_fd_sc_hd__dfrtp_2 RTL
27 d_out 5 _256_ sky130_fd_sc_hd__dfrtp_2 RTL
28 d_out 6 _257_ sky130_fd_sc_hd__dfrtp_2 RTL
29 d_out 7 _258_ sky130_fd_sc_hd__dfrtp_2 RTL
