# index logical_name bit instance cell origin
0 stato 0 _243_ sky130_fd_sc_hd__dfstp_2 RTL
1 stato 1 _244_ sky130_fd_sc_hd__dfrtp_2 RTL
2 stato 2 _245_ sky130_fd_sc_hd__dfrtp_2 GL_ONLY
3 grant_o 0 _246_ sky130_fd_sc_hd__dfrtp_2 RTL
4 grant_o 1 _247_ sky130_fd_sc_hd__dfrtp_2 RTL
5 grant_o 2 _248_ sky130_fd_sc_hd__dfrtp_2 RTL
6 grant_o 3 _249_ sky130_fd_sc_hd__dfrtp_2 RTL
7 coda0 0 _250_ sky130_fd_sc_hd__dfrtp_2 RTL
8 coda0 1 _251_ sky130_fd_sc_hd__dfrtp_2 RTL
9 coda0 2 _252_ sky130_fd_sc_hd__dfrtp_2 RTL
10 coda1 0 _253_ sky130_fd_sc_hd__dfrtp_2 RTL
11 coda1 1 _254_ sky130_fd_sc_hd__dfrtp_2 RTL
12 coda1 2 _255_ sky130_fd_sc_hd__dfrtp_2 RTL
13 coda2 0 _256_ sky130_fd_sc_hd__dfrtp_2 RTL
14 coda2 1 _257_ sky130_fd_sc_hd__dfrtp_2 RTL
15 coda2 2 _258_ sky130_fd_sc_hd__dfrtp_2 RTL
16 grant 0 _259_ sky130_fd_sc_hd__dfrtp_2 RTL
17 grant 1 _260_ sky130_fd_sc_hd__dfrtp_2 RTL
18 grant 2 _261_ sky130_fd_sc_hd__dfrtp_2 RTL
19 grant 3 _262_ sky130_fd_sc_hd__dfrtp_2 RTL
20 coda3 0 _263_ sky130_fd_sc_hd__dfrtp_2 RTL
21 coda3 1 _264_ sky130_fd_sc_hd__dfrtp_2 RTL
22 coda3 2 _265_ sky130_fd_sc_hd__dfrtp_2 RTL
23 ru1 0 _266_ sky130_fd_sc_hd__dfrtp_2 RTL
24 ru2 0 _267_ sky130_fd_sc_hd__dfrtp_2 RTL
25 ru3 0 _268_ sky130_fd_sc_hd__dfrtp_2 RTL
26 ru4 0 _269_ sky130_fd_sc_hd__dfrtp_2 RTL
27 fu1 0 _270_ sky130_fd_sc_hd__dfrtp_2 RTL
28 fu2 0 _271_ sky130_fd_sc_hd__dfrtp_2 RTL
29 fu3 0 _272_ sky130_fd_sc_hd__dfrtp_2 RTL
30 fu4 0 _273_ sky130_fd_sc_hd__dfrtp_2 RTL
