# index logical_name bit instance cell origin
0 STATO 0 _1276_ sky130_fd_sc_hd__dfrtp_2 RTL
1 STATO 1 _1277_ sky130_fd_sc_hd__dfrtp_2 RTL
2 STATO 2 _1278_ sky130_fd_sc_hd__dfrtp_2 RTL
3 NUM 0 _1279_ sky130_fd_sc_hd__dfrtp_2 RTL
4 NUM 1 _1280_ sky130_fd_sc_hd__dfrtp_2 RTL
5 NUM 2 _1281_ sky130_fd_sc_hd__dfrtp_2 RTL
6 NUM 3 _1282_ sky130_fd_sc_hd__dfrtp_2 RTL
7 NUM 4 _1283_ sky130_fd_sc_hd__dfrtp_2 RTL
8 NUM 5 _1284_ sky130_fd_sc_hd__dfrtp_2 RTL
9 NUM 6 _1285_ sky130_fd_sc_hd__dfrtp_2 RTL
10 NUM 7 _1286_ sky130_fd_sc_hd__dfrtp_2 RTL
11 NUM 8 _1287_ sky130_fd_sc_hd__dfrtp_2 RTL
12 NUM 9 _1288_ sky130_fd_sc_hd__dfrtp_2 RTL
13 NUM 10 _1289_ sky130_fd_sc_hd__dfrtp_2 RTL
14 NUM 11 _1290_ sky130_fd_sc_hd__dfrtp_2 RTL
15 NUM 12 _1291_ sky130_fd_sc_hd__dfrtp_2 RTL
16 NUM 13 _1292_ sky130_fd_sc_hd__dfrtp_2 RTL
17 NUM 14 _1293_ sky130_fd_sc_hd__dfrtp_2 RTL
18 NUM 15 _1294_ sky130_fd_sc_hd__dfrtp_2 RTL
19 NUM 16 _1295_ sky130_fd_sc_hd__dfrtp_2 RTL
20 NUM 17 _1296_ sky130_fd_sc_hd__dfrtp_2 RTL
21 NUM 18 _1297_ sky130_fd_sc_hd__dfrtp_2 RTL
22 NUM 19 _1298_ sky130_fd_sc_hd__dfrtp_2 RTL
23 NUM 20 _1299_ sky130_fd_sc_hd__dfrtp_2 RTL
24 NUM 21 _1300_ sky130_fd_sc_hd__dfrtp_2 RTL
25 NUM 22 _1301_ sky130_fd_sc_hd__dfrtp_2 RTL
26 NUM 23 _1302_ sky130_fd_sc_hd__dfrtp_2 RTL
27 NUM 24 _1303_ sky130_fd_sc_hd__dfrtp_2 RTL
28 NUM 25 _1304_ sky130_fd_sc_hd__dfrtp_2 RTL
29 NUM 26 _1305_ sky130_fd_sc_hd__dfrtp_2 RTL
30 NUM 27 _1306_ sky130_fd_sc_hd__dfrtp_2 RTL
31 NUM 28 _1307_ sky130_fd_sc_hd__dfrtp_2 RTL
32 NUM 29 _1308_ sky130_fd_sc_hd__dfrtp_2 RTL
33 NUM 30 _1309_ sky130_fd_sc_hd__dfrtp_2 RTL
34 NUM 31 _1310_ sky130_fd_sc_hd__dfrtp_2 RTL
35 MAR 0 _1311_ sky130_fd_sc_hd__dfrtp_2 RTL
36 MAR 1 _1312_ sky130_fd_sc_hd__dfrtp_2 RTL
37 MAR 2 _1313_ sky130_fd_sc_hd__dfrtp_2 RTL
38 MAR 3 _1314_ sky130_fd_sc_hd__dfrtp_2 RTL
39 MAR 4 _1315_ sky130_fd_sc_hd__dfrtp_2 RTL
40 MAR 5 _1316_ sky130_fd_sc_hd__dfrtp_2 RTL
41 MAR 6 _1317_ sky130_fd_sc_hd__dfrtp_2 RTL
42 MAR 7 _1318_ sky130_fd_sc_hd__dfrtp_2 RTL
43 MAR 8 _1319_ sky130_fd_sc_hd__dfrtp_2 RTL
44 MAR 9 _1320_ sky130_fd_sc_hd__dfrtp_2 RTL
