# index logical_name bit instance cell origin
0 sum_in 0 _819_ sky130_fd_sc_hd__dfrtp_2 RTL
1 sum_in 1 _820_ sky130_fd_sc_hd__dfrtp_2 RTL
2 sum_in 2 _821_ sky130_fd_sc_hd__dfrtp_2 RTL
3 sum_in 3 _822_ sky130_fd_sc_hd__dfrtp_2 RTL
4 sum_in 4 _823_ sky130_fd_sc_hd__dfrtp_2 RTL
5 sum_in 5 _824_ sky130_fd_sc_hd__dfrtp_2 RTL
6 sum_in 6 _825_ sky130_fd_sc_hd__dfrtp_2 RTL
7 sum_in 31 _826_ sky130_fd_sc_hd__dfrtp_2 RTL
8 stato 0 _827_ sky130_fd_sc_hd__dfstp_2 RTL
9 stato 1 _828_ sky130_fd_sc_hd__dfrtp_2 RTL
10 stato 2 _829_ sky130_fd_sc_hd__dfrtp_2 GL_ONLY
11 DATA_OUT 0 _830_ sky130_fd_sc_hd__dfrtp_2 RTL
12 DATA_OUT 1 _831_ sky130_fd_sc_hd__dfrtp_2 RTL
13 DATA_OUT 2 _832_ sky130_fd_sc_hd__dfrtp_2 RTL
14 DATA_OUT 3 _833_ sky130_fd_sc_hd__dfrtp_2 RTL
15 DATA_OUT 4 _834_ sky130_fd_sc_hd__dfrtp_2 RTL
16 DATA_OUT 5 _835_ sky130_fd_sc_hd__dfrtp_2 RTL
17 DATA_OUT 6 _836_ sky130_fd_sc_hd__dfrtp_2 RTL
18 DATA_OUT 7 _837_ sky130_fd_sc_hd__dfrtp_2 RTL
19 RMAX 0 _838_ sky130_fd_sc_hd__dfrtp_2 RTL
20 RMAX 1 _839_ sky130_fd_sc_hd__dfrtp_2 RTL
21 RMAX 2 _840_ sky130_fd_sc_hd__dfrtp_2 RTL
22 RMAX 3 _841_ sky130_fd_sc_hd__dfrtp_2 RTL
23 RMAX 4 _842_ sky130_fd_sc_hd__dfrtp_2 RTL
24 RMAX 5 _843_ sky130_fd_sc_hd__dfrtp_2 RTL
25 RMAX 6 _844_ sky130_fd_sc_hd__dfrtp_2 RTL
26 RMAX 10 _845_ sky130_fd_sc_hd__dfrtp_2 RTL
27 RMIN 0 _846_ sky130_fd_sc_hd__dfrtp_2 RTL
28 RMIN 1 _847_ sky130_fd_sc_hd__dfrtp_2 RTL
29 RMIN 2 _848_ sky130_fd_sc_hd__dfrtp_2 RTL
30 RMIN 3 _849_ sky130_fd_sc_hd__dfrtp_2 RTL
31 RMIN 4 _850_ sky130_fd_sc_hd__dfrtp_2 RTL
32 RMIN 5 _851_ sky130_fd_sc_hd__dfrtp_2 RTL
33 RMIN 6 _852_ sky130_fd_sc_hd__dfrtp_2 RTL
34 RMIN 10 _853_ sky130_fd_sc_hd__dfrtp_2 RTL
35 RLAST 0 _854_ sky130_fd_sc_hd__dfrtp_2 RTL
36 RLAST 1 _855_ sky130_fd_sc_hd__dfrtp_2 RTL
37 RLAST 2 _856_ sky130_fd_sc_hd__dfrtp_2 RTL
38 RLAST 3 _857_ sky130_fd_sc_hd__dfrtp_2 RTL
39 RLAST 4 _858_ sky130_fd_sc_hd__dfrtp_2 RTL
40 RLAST 5 _859_ sky130_fd_sc_hd__dfrtp_2 RTL
41 RLAST 6 _860_ sky130_fd_sc_hd__dfrtp_2 RTL
42 RLAST 7 _861_ sky130_fd_sc_hd__dfrtp_2 RTL
43 REG1 0 _862_ sky130_fd_sc_hd__dfrtp_2 RTL
44 REG1 1 _863_ sky130_fd_sc_hd__dfrtp_2 RTL
45 REG1 2 _864_ sky130_fd_sc_hd__dfrtp_2 RTL
46 REG1 3 _865_ sky130_fd_sc_hd__dfrtp_2 RTL
47 REG1 4 _866_ sky130_fd_sc_hd__dfrtp_2 RTL
48 REG1 5 _867_ sky130_fd_sc_hd__dfrtp_2 RTL
49 REG1 6 _868_ sky130_fd_sc_hd__dfrtp_2 RTL
50 REG1 10 _869_ sky130_fd_sc_hd__dfrtp_2 RTL
51 REG2 0 _870_ sky130_fd_sc_hd__dfrtp_2 RTL
52 REG2 1 _871_ sky130_fd_sc_hd__dfrtp_2 RTL
53 REG2 2 _872_ sky130_fd_sc_hd__dfrtp_2 RTL
54 REG2 3 _873_ sky130_fd_sc_hd__dfrtp_2 RTL
55 REG2 4 _874_ sky130_fd_sc_hd__dfrtp_2 RTL
56 REG2 5 _875_ sky130_fd_sc_hd__dfrtp_2 RTL
57 REG2 6 _876_ sky130_fd_sc_hd__dfrtp_2 RTL
58 REG2 10 _877_ sky130_fd_sc_hd__dfrtp_2 RTL
59 REG3 0 _878_ sky130_fd_sc_hd__dfrtp_2 RTL
60 REG3 1 _879_ sky130_fd_sc_hd__dfrtp_2 RTL
61 REG3 2 _880_ sky130_fd_sc_hd__dfrtp_2 RTL
62 REG3 3 _881_ sky130_fd_sc_hd__dfrtp_2 RTL
63 REG3 4 _882_ sky130_fd_sc_hd__dfrtp_2 RTL
64 REG3 5 _883_ sky130_fd_sc_hd__dfrtp_2 RTL
65 REG3 6 _884_ sky130_fd_sc_hd__dfrtp_2 RTL
66 REG3 10 _885_ sky130_fd_sc_hd__dfrtp_2 RTL
67 RES 0 _886_ sky130_fd_sc_hd__dfrtp_2 RTL
68 AVE 0 _887_ sky130_fd_sc_hd__dfrtp_2 RTL
69 ENA 0 _888_ sky130_fd_sc_hd__dfrtp_2 RTL
70 REG4 0 _889_ sky130_fd_sc_hd__dfrtp_2 RTL
71 REG4 1 _890_ sky130_fd_sc_hd__dfrtp_2 RTL
72 REG4 2 _891_ sky130_fd_sc_hd__dfrtp_2 RTL
73 REG4 3 _892_ sky130_fd_sc_hd__dfrtp_2 RTL
74 REG4 4 _893_ sky130_fd_sc_hd__dfrtp_2 RTL
75 REG4 5 _894_ sky130_fd_sc_hd__dfrtp_2 RTL
76 REG4 6 _895_ sky130_fd_sc_hd__dfrtp_2 RTL
77 REG4 10 _896_ sky130_fd_sc_hd__dfrtp_2 RTL
78 sum_rm 0 _897_ sky130_fd_sc_hd__dfrtp_2 RTL
79 sum_rm 1 _898_ sky130_fd_sc_hd__dfrtp_2 RTL
80 sum_rm 2 _899_ sky130_fd_sc_hd__dfrtp_2 RTL
81 sum_rm 3 _900_ sky130_fd_sc_hd__dfrtp_2 RTL
82 sum_rm 4 _901_ sky130_fd_sc_hd__dfrtp_2 RTL
83 sum_rm 5 _902_ sky130_fd_sc_hd__dfrtp_2 RTL
84 sum_rm 6 _903_ sky130_fd_sc_hd__dfrtp_2 RTL
85 sum_rm 31 _904_ sky130_fd_sc_hd__dfrtp_2 RTL
